16,1024
147439.76, 8055451.29, 5000.00
1034031.42, 8987881.38, 5000.00
1967531.20, 9987869.17, 5000.00
2856252.41, 10920308.07, 5000.00
145275.53, 12021643.46, 5000.00
1037024.49, 12939126.01, 5000.00
1987852.34, 13926826.40, 5000.00
2897856.69, 14862474.68, 5000.00
105595.84, 142172.08, 5000.00
1012441.02, 1075429.03, 5000.00
1961966.13, 2063018.54, 5000.00
2849825.32, 2977422.75, 5000.00
148565.86, 4082475.31, 5000.00
1033361.94, 5012352.47, 5000.00
1965031.71, 6012661.39, 5000.00
2847633.83, 6942522.79, 5000.00
152366.17, 8057477.21, 5000.00
1034968.29, 8987338.61, 5000.00
1966638.06, 9987647.53, 5000.00
2851434.14, 10917524.69, 5000.00
150174.68, 12022577.25, 5000.00
1038033.87, 12936981.46, 5000.00
1987558.98, 13924570.97, 5000.00
2894404.16, 14857827.92, 5000.00
109064.76, 146840.58, 5000.00
1012726.14, 1077678.13, 5000.00
1960970.65, 2065181.48, 5000.00
2844903.42, 2976469.56, 5000.00
153404.12, 4085278.76, 5000.00
1034243.39, 5012559.77, 5000.00
1964106.93, 6013218.36, 5000.00
2842688.00, 6940476.14, 5000.00
157312.00, 8059523.86, 5000.00
1035893.07, 8986781.64, 5000.00
1965756.61, 9987440.23, 5000.00
2846595.88, 10914721.24, 5000.00
155096.58, 12023530.44, 5000.00
1039029.35, 12934818.52, 5000.00
1987273.86, 13922321.87, 5000.00
2890935.24, 14853159.42, 5000.00
112550.35, 151531.16, 5000.00
1013002.68, 1079920.53, 5000.00
1959989.57, 2067363.39, 5000.00
2839958.35, 2975496.48, 5000.00
158262.70, 4088102.71, 5000.00
1035112.74, 5012752.21, 5000.00
1963194.66, 6013790.07, 5000.00
2837722.46, 6938408.30, 5000.00
162277.54, 8061591.70, 5000.00
1036805.34, 8986209.93, 5000.00
1964887.26, 9987247.79, 5000.00
2841737.30, 10911897.29, 5000.00
160041.65, 12024503.52, 5000.00
1040010.43, 12932636.61, 5000.00
1986997.32, 13920079.47, 5000.00
2887449.65, 14848468.84, 5000.00
116052.87, 156244.16, 5000.00
1013270.31, 1082155.86, 5000.00
1959023.37, 2069564.85, 5000.00
2834989.71, 2974503.03, 5000.00
163141.92, 4090947.59, 5000.00
1035969.55, 5012929.23, 5000.00
1962295.35, 6014377.06, 5000.00
2832736.88, 6936318.84, 5000.00
167263.12, 8063681.16, 5000.00
1037704.65, 8985622.94, 5000.00
1964030.45, 9987070.77, 5000.00
2836858.08, 10909052.41, 5000.00
165010.29, 12025496.97, 5000.00
1040976.63, 12930435.15, 5000.00
1986729.69, 13917844.14, 5000.00
2883947.13, 14843755.84, 5000.00
119572.63, 160979.94, 5000.00
1013528.70, 1084383.74, 5000.00
1958072.58, 2071786.48, 5000.00
2829997.03, 2973488.70, 5000.00
168042.13, 4093813.85, 5000.00
1036813.37, 5013090.27, 5000.00
1961409.44, 6014979.90, 5000.00
2827730.91, 6934207.26, 5000.00
